epoch,global_step,layer,metric_type,value
1.0,10,base_model.model.roberta.embeddings.word_embeddings.weight,base,2.8762521464546524
1.0,10,base_model.model.roberta.embeddings.position_embeddings.weight,base,1.794806501817938
1.0,10,base_model.model.roberta.embeddings.token_type_embeddings.weight,base,0.0
1.0,10,base_model.model.roberta.encoder.layer.0.attention.self.query.weight,base,65.16850243294316
1.0,10,base_model.model.roberta.encoder.layer.0.attention.self.query.weight,delta,5.435965277375828
1.0,10,base_model.model.roberta.encoder.layer.0.attention.self.query.weight,effective,65.16705216699252
1.0,10,base_model.model.roberta.encoder.layer.0.attention.self.key.weight,base,130.91481538106177
1.0,10,base_model.model.roberta.encoder.layer.0.attention.self.key.weight,delta,10.717573833760742
1.0,10,base_model.model.roberta.encoder.layer.0.attention.self.key.weight,effective,130.91005127448423
1.0,10,base_model.model.roberta.encoder.layer.0.attention.self.value.weight,base,88.31941014198881
1.0,10,base_model.model.roberta.encoder.layer.0.attention.self.value.weight,delta,2.71587453004404
1.0,10,base_model.model.roberta.encoder.layer.0.attention.self.value.weight,effective,88.31912008862615
1.0,10,base_model.model.roberta.encoder.layer.0.attention.output.dense.weight,base,5.915947919238045
1.0,10,base_model.model.roberta.encoder.layer.0.attention.output.dense.weight,delta,3.474385810747938
1.0,10,base_model.model.roberta.encoder.layer.0.attention.output.dense.weight,effective,5.915870613793806
1.0,10,base_model.model.roberta.encoder.layer.0.intermediate.dense.weight,base,7.211772906074545
1.0,10,base_model.model.roberta.encoder.layer.0.intermediate.dense.weight,delta,2.9238886429756503
1.0,10,base_model.model.roberta.encoder.layer.0.intermediate.dense.weight,effective,7.211617930449172
1.0,10,base_model.model.roberta.encoder.layer.0.output.dense.weight,base,45.444507184256565
1.0,10,base_model.model.roberta.encoder.layer.0.output.dense.weight,delta,5.967544503994635
1.0,10,base_model.model.roberta.encoder.layer.0.output.dense.weight,effective,45.4438165854505
1.0,10,base_model.model.roberta.encoder.layer.1.attention.self.query.weight,base,49.83982559284896
1.0,10,base_model.model.roberta.encoder.layer.1.attention.self.query.weight,delta,2.254854436368006
1.0,10,base_model.model.roberta.encoder.layer.1.attention.self.query.weight,effective,49.839185346098894
1.0,10,base_model.model.roberta.encoder.layer.1.attention.self.key.weight,base,36.683594715722144
1.0,10,base_model.model.roberta.encoder.layer.1.attention.self.key.weight,delta,5.788934955445915
1.0,10,base_model.model.roberta.encoder.layer.1.attention.self.key.weight,effective,36.682461436424916
1.0,10,base_model.model.roberta.encoder.layer.1.attention.self.value.weight,base,100.83349896198295
